"Site ID","Project Name","Location Name","Site Name","AP Site Code",ISP,Province,Municipality,Status,"Created At","Updated At","Created By"
919,"PICS GIDA via LEO Technology","Bolos Pt. Elementary School","Bolos Pt. Elementary School Gymnasium",GIDA-R2-008B,"We Are IT Philippines Inc.",Cagayan,Gattaran,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
1282,"PICS-PP Phase 2","Bonifacio Barangay Hall","Bonifacio Barangay Hall",PICS-PPph2-R02-199,PHILCOMSAT,Isabela,Angadanan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1143,"PICS-PP Phase 2","Brgy Nakanmuan","Brgy Nakanmuan",PICS-PPph2-R02-060,PHILCOMSAT,Batanes,Sabtang,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1148,"PICS-PP Phase 2","Brgy Santa Lucia","Brgy Santa Lucia",PICS-PPph2-R02-065,PHILCOMSAT,Batanes,Itbayat,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1149,"PICS-PP Phase 2","Brgy Santa Maria","Brgy Santa Maria",PICS-PPph2-R02-066,PHILCOMSAT,Batanes,Itbayat,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
907,"PICS GIDA via LEO Technology","Bubog Primary School (Fuga Island)","Bubog Primary School (Fuga Island) Stage Left Side",GIDA-R2-002B,"We Are IT Philippines Inc.",Cagayan,Aparri,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
906,"PICS GIDA via LEO Technology","Bubog Primary School (Fuga Island)","Bubog Primary School (Fuga Island) Stage Right Side",GIDA-R2-002A,"We Are IT Philippines Inc.",Cagayan,Aparri,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
1363,"PICS-PP Phase 2","Bugkalot Ps","Bugkalot Ps",PICS-PPph2-R02-278,PHILCOMSAT,Quirino,Nagtipunan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
974,"Emergency Procurement","Rizal Central School","Building 1 (Principal’s Office)",SINAG-R2-016A,"IT BUSINESS SOLUTIONS",Cagayan,Rizal,REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
975,"Emergency Procurement","Rizal Central School","Building 2 (Grade 5)",SINAG-R2-016B,"IT BUSINESS SOLUTIONS",Cagayan,Rizal,REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
1092,"PICS-PP Phase 2","Bureau of Internal Revenue","Bureau of Internal Revenue",PICS-PPph2-R02-009,PHILCOMSAT,Batanes,Basco,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1310,"PICS-PP Phase 2","Bureau of Internal Revenue Naguilian","Bureau of Internal Revenue Naguilian",PICS-PPph2-R02-279,PHILCOMSAT,Isabela,Naguilian,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1294,"PICS-PP Phase 2","Burgos Barangay Hall","Burgos Barangay Hall",PICS-PPph2-R02-211,PHILCOMSAT,Isabela,"San Guillermo",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1251,"PICS-PP Phase 2","Burgos Elementary School","Burgos Elementary School",PICS-PPph2-R02-168,PHILCOMSAT,Isabela,Naguilian,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1164,"PICS-PP Phase 2","Burot Barangay Hall","Burot Barangay Hall",PICS-PPph2-R02-081,PHILCOMSAT,Cagayan,Allacapan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1324,"PICS-PP Phase 2","Butao Barangay Hall","Butao Barangay Hall",PICS-PPph2-R02-239,PHILCOMSAT,"Nueva Vizcaya",Diadi,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1253,"PICS-PP Phase 2","Buyasan Barangay Hall","Buyasan Barangay Hall",PICS-PPph2-R02-170,PHILCOMSAT,Isabela,"San Mariano",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1290,"PICS-PP Phase 2","BUYON INTEGRATED SCHOOL","BUYON INTEGRATED SCHOOL",PICS-PPph2-R02-207,PHILCOMSAT,Isabela,"Cauayan City",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1210,"PICS-PP Phase 2","Cabagan Municipal Hall","Cabagan Municipal Hall",PICS-PPph2-R02-126,PHILCOMSAT,Isabela,Cabagan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1212,"PICS-PP Phase 2","Cabagan Science Elementary School (SPED School)","Cabagan Science Elementary School (SPED School)",PICS-PPph2-R02-128,PHILCOMSAT,Isabela,Cabagan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1211,"PICS-PP Phase 2","Cabagan Square Park","Cabagan Square Park",PICS-PPph2-R02-127,PHILCOMSAT,Isabela,Cabagan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1274,"PICS-PP Phase 2","Cabatuan Municipal Hall","Cabatuan Municipal Hall",PICS-PPph2-R02-191,PHILCOMSAT,Isabela,Cabatuan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1325,"PICS-PP Phase 2","Cabayo National High School","Cabayo National High School",PICS-PPph2-R02-240,PHILCOMSAT,"Nueva Vizcaya",Kayapa,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1173,"PICS-PP Phase 2","Cadongdongan Elementary School","Cadongdongan Elementary School",PICS-PPph2-R02-090,PHILCOMSAT,Cagayan,"Santa Praxedes",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1021,"Emergency Procurement","Cadsalan Integrated School","Cadsalan Integrated School Admin Office - Side",SINAG-R2-039B,"IT BUSINESS SOLUTIONS",Isabela,"San Mariano",REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
1020,"Emergency Procurement","Cadsalan Integrated School","Cadsalan Integrated School High School Grounds",SINAG-R2-039A,"IT BUSINESS SOLUTIONS",Isabela,"San Mariano",REBATES,"2026-03-10 08:47:48","2026-03-10 08:47:48",5
1243,"PICS-PP Phase 2","Calaocan Elementary School","Calaocan Elementary School",PICS-PPph2-R02-160,PHILCOMSAT,Isabela,"Benito Soliven",ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1174,"PICS-PP Phase 2","Calayan Hs","Calayan Hs",PICS-PPph2-R02-091,PHILCOMSAT,Cagayan,Calayan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1175,"PICS-PP Phase 2","Calayan Hs - Camiguin Annex","Calayan Hs - Camiguin Annex",PICS-PPph2-R02-092,PHILCOMSAT,Cagayan,Calayan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1176,"PICS-PP Phase 2","Calayan Hs - Dibay Ext.","Calayan Hs - Dibay Ext.",PICS-PPph2-R02-093,PHILCOMSAT,Cagayan,Calayan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1177,"PICS-PP Phase 2","Calayan Hs- Dilam Extension","Calayan Hs- Dilam Extension",PICS-PPph2-R02-094,PHILCOMSAT,Cagayan,Calayan,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1179,"PICS-PP Phase 2","Cambabangan Barangay Hall","Cambabangan Barangay Hall",PICS-PPph2-R02-096,PHILCOMSAT,Cagayan,Rizal,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
1229,"PICS-PP Phase 2","Camp Samal","Camp Samal",PICS-PPph2-R02-146,PHILCOMSAT,Isabela,Tumauini,ONGOING,"2026-03-31 10:21:38","2026-03-31 10:21:38",1
913,"PICS GIDA via LEO Technology","Camunayan Elementary School","Camunayan Elementary School MG 1",GIDA-R2-005B,"We Are IT Philippines Inc.",Cagayan,Baggao,ACTIVE,"2026-03-06 11:34:07","2026-03-06 11:34:07",1
